Timestamp,"Discord ID (e.g., WritingFates#7355)",TSM Vs Team Aster (Bo2) [1pt],9 Pandas Vs Evil Geniuses (Bo2) [1pt],Team Liquid Vs PSG.LGD (Bo2) [1pt],Execration Vs BetBoom Team (Bo2) [1pt],Xtreme Gaming Vs Tundra Esports (Bo2) [1pt],Talon Esports Vs Shopify Rebellion (Bo2) [1pt],Beastcoast Vs OG (Bo2) [1pt],Team SMG Vs Team Spirit (Bo2) [1pt],Team Liquid Vs Execration (Bo2) [1pt],TSM Vs PSG.LGD (Bo2) [1pt],Evil Geniuses Vs Team Aster (Bo2) [1pt],9 Panda Vs Gamin Gladiators (Bo2) [1pt],Shopify Rebellion Vs OG (Bo2) [1pt],Beastcoast Vs Tundra Esports   (Bo2) [1pt],Xtreme Gaming Vs Team Spirit (Bo2) [1pt],Talon Esports Vs Invictus Gaming (Bo2) [1pt]
4/28/2023 19:43:17,eonden#0225,Team Aster Victory,9 Pandas Victory,Team Liquid Victory,BetBoom Team Victory,Tunda Esports Victory,Shopify Rebellion Victory,Tie,Team Spirit Victory,Team Liquid Victory,PSG.LGD Victory,Tie,Gamin Gladiators Victory,Tie,Tundra Esports Victory,Team Spirit Victory,Tie
4/28/2023 20:24:51,Tino_#8214,Team Aster Victory,9 Pandas Victory,Team Liquid Victory,BetBoom Team Victory,Tunda Esports Victory,Tie,OG Victory,Tie,Team Liquid Victory,Tie,Team Aster Victory,Gamin Gladiators Victory,Tie,Tundra Esports Victory,Team Spirit Victory,Talon Esports Victory
4/28/2023 20:26:31,Kit#4497,Tie,Tie,PSG.LGD Victory,Tie,Tunda Esports Victory,Shopify Rebellion Victory,OG Victory,Tie,Tie,Tie,Tie,Tie,Tie,Tie,Tie,Tie
4/28/2023 20:27:32,WritingFates#7355,Team Aster Victory,Tie,Tie,BetBoom Team Victory,Tunda Esports Victory,Shopify Rebellion Victory,OG Victory,Team Spirit Victory,Team Liquid Victory,PSG.LGD Victory,Tie,Gamin Gladiators Victory,Tie,Tundra Esports Victory,Team Spirit Victory,Tie
4/28/2023 20:28:45,[/dev/grohl]#3505,Team Aster Victory,Evil Geniuses Victory,Team Liquid Victory,BetBoom Team Victory,Tunda Esports Victory,Shopify Rebellion Victory,Tie,Tie,Team Liquid Victory,Tie,Team Aster Victory,Gamin Gladiators Victory,Tie,Tundra Esports Victory,Team Spirit Victory,Tie
4/28/2023 21:15:49,waltz#8509,Team Aster Victory,9 Pandas Victory,Tie,BetBoom Team Victory,Tunda Esports Victory,Shopify Rebellion Victory,OG Victory,Team Spirit Victory,Team Liquid Victory,Tie,Team Aster Victory,Gamin Gladiators Victory,OG Victory,Tundra Esports Victory,Tie,Invictus Gaming Victory
4/28/2023 21:24:20,Rucket#8610,Team Aster Victory,Tie,Tie,BetBoom Team Victory,Tunda Esports Victory,Shopify Rebellion Victory,OG Victory,Team Spirit Victory,Team Liquid Victory,PSG.LGD Victory,Tie,Gamin Gladiators Victory,Tie,Tundra Esports Victory,Team Spirit Victory,Tie
4/28/2023 21:24:45,Puppets#4815,TSM Victory,Tie,Team Liquid Victory,BetBoom Team Victory,Tunda Esports Victory,Shopify Rebellion Victory,Tie,Team Spirit Victory,Team Liquid Victory,Tie,Evil Geniuses Victory,Gamin Gladiators Victory,Tie,Tie,Team Spirit Victory,Tie
4/28/2023 22:06:46,Super#2825 ,Team Aster Victory,Evil Geniuses Victory,Tie,BetBoom Team Victory,Tunda Esports Victory,Shopify Rebellion Victory,Tie,Team Spirit Victory,Team Liquid Victory,PSG.LGD Victory,Tie,Gamin Gladiators Victory,Tie,Beastcoast Victory,Team Spirit Victory,Invictus Gaming Victory
4/28/2023 23:02:46,SliceofToast#1845,Tie,Tie,Tie,BetBoom Team Victory,Tunda Esports Victory,Shopify Rebellion Victory,Tie,Team Spirit Victory,Team Liquid Victory,Tie,Tie,Gamin Gladiators Victory,Shopify Rebellion Victory,Tundra Esports Victory,Team Spirit Victory,Tie
